category,product_name,price,sku,item_description,avg_rating,weight_kg,stock_status,created_at
accessories,basic hair ties 50-pack,9.99,ACC-0001,Pack of 50 stretchy no-snag hair ties in assorted neutral colors,4.1,0.08,in_stock,2023-08-03
accessories,canvas tote bag,14.5,ACC-0002,Sturdy 100% cotton canvas tote with reinforced handles and inner pocket,4.6,0.35,in_stock,2023-11-08
accessories,woven faux leather belt,18.99,ACC-0003,Braided faux leather belt with brushed nickel buckle and adjustable fit,4.2,0.15,in_stock,2023-09-22
accessories,minimalist slim wallet,22.5,ACC-0004,Slim bifold wallet with RFID blocking and 6 card slots,4.8,0.1,in_stock,2023-12-12
accessories,blue light blocking glasses,24.95,ACC-0005,Lightweight blue light filtering glasses with spring hinges for all-day comfort,4.8,0.04,in_stock,2023-06-14
accessories,oversized knit winter scarf,29.99,ACC-0006,Extra-long chunky knit winter scarf in soft acrylic blend,4.1,0.25,in_stock,2023-10-27
accessories,polarized aviator sunglasses,34.5,ACC-0007,UV400 polarized aviator sunglasses with metal frame and nose pads,4.2,0.03,in_stock,2023-08-08
accessories,sterling silver stud earrings,42.0,ACC-0008,Hypoallergenic 925 sterling silver stud earrings with butterfly backs,4.6,0.02,in_stock,2023-10-19
accessories,vintage style fedora hat,49.99,ACC-0009,Classic wide-brim fedora in wool felt with grosgrain ribbon band,4.2,0.15,in_stock,2023-07-04
accessories,leather crossbody bag,59.95,ACC-0010,Full-grain leather crossbody bag with adjustable strap and zip closure,4.1,0.65,in_stock,2023-08-13
accessories,classic analog wrist watch,75.0,ACC-0011,Japanese quartz movement analog watch with genuine leather band,4.8,0.08,in_stock,2023-07-27
accessories,water resistant sports watch,89.99,ACC-0012,50m water resistant digital sports watch with stopwatch and backlight,4.5,0.06,in_stock,2023-11-26
accessories,premium leather briefcase,125.0,ACC-0013,Full-grain leather briefcase with padded laptop compartment and brass hardware,4.4,1.2,in_stock,2023-12-02
beauty,organic lip balm duo,6.49,BEA-0001,Duo pack of organic beeswax lip balms in vanilla and honey flavors,4.7,0.05,in_stock,2023-07-02
beauty,hydrating sheet mask set,7.99,BEA-0002,Set of 10 individually wrapped hydrating sheet masks with hyaluronic acid,4.7,0.18,in_stock,2023-06-08
beauty,travel size hand cream,9.5,BEA-0003,Travel-size shea butter hand cream in a 50ml squeeze tube,4.2,0.07,in_stock,2023-11-09
beauty,gentle foaming facial cleanser,11.99,BEA-0004,pH-balanced foaming cleanser for sensitive skin with aloe vera extract,4.1,0.22,in_stock,2023-11-03
beauty,exfoliating sugar body scrub,12.5,BEA-0005,Brown sugar and coconut oil body scrub for gentle exfoliation,4.4,0.35,in_stock,2023-12-22
beauty,volumizing black mascara,14.0,BEA-0006,Smudge-proof volumizing mascara with curved bristle wand,4.4,0.03,in_stock,2023-08-01
beauty,matte finish setting spray,15.99,BEA-0007,Fine mist setting spray for long-lasting matte makeup hold,4.4,0.12,in_stock,2023-11-29
beauty,daily moisturizing lotion,17.5,BEA-0008,Lightweight daily moisturizer with SPF 15 for all skin types,4.7,0.25,in_stock,2023-06-21
beauty,tinted lip oil,18.95,BEA-0009,Sheer tinted lip oil with jojoba and vitamin E in 6 shades,4.6,0.04,in_stock,2023-08-19
beauty,rosewater facial toner,21.0,BEA-0010,Alcohol-free rosewater facial toner with witch hazel for pore refining,4.9,0.28,in_stock,2023-10-20
beauty,vitamin c face serum,22.99,BEA-0011,15% vitamin C brightening serum with ferulic acid in glass dropper bottle,4.1,0.08,in_stock,2023-06-04
beauty,clarifying clay mask,24.5,BEA-0012,Deep-cleansing kaolin clay mask with tea tree oil for oily skin,4.4,0.15,in_stock,2023-10-20
beauty,argan oil hair serum,26.0,BEA-0013,Cold-pressed argan oil hair serum for frizz control and shine,4.3,0.06,in_stock,2023-09-13
beauty,waterproof liquid eyeliner,28.5,BEA-0014,Precision tip waterproof liquid eyeliner with 24-hour wear formula,4.8,0.02,in_stock,2023-06-24
beauty,sheer coverage bb cream,31.99,BEA-0015,Lightweight BB cream with sheer buildable coverage and SPF 30,4.2,0.04,in_stock,2023-07-28
beauty,hydrating overnight lip mask,34.0,BEA-0016,Overnight lip treatment mask with peptides and shea butter,4.2,0.05,in_stock,2023-06-30
beauty,heat protectant hair spray,36.5,BEA-0017,Thermal heat protectant spray for blow drying and styling up to 230C,4.4,0.18,low_stock,2023-09-27
beauty,brightening eye cream,39.99,BEA-0018,Caffeine and peptide eye cream to reduce dark circles and puffiness,4.4,0.04,in_stock,2023-07-01
beauty,soft bristle makeup brush set,45.0,BEA-0019,12-piece synthetic bristle makeup brush set with faux leather roll case,4.3,0.32,in_stock,2023-11-13
beauty,deeply nourishing hair mask,49.95,BEA-0020,Intensive keratin and coconut hair mask for damaged and dry hair,4.2,0.3,in_stock,2023-07-10
beauty,broad spectrum spf 50 sunscreen,55.0,BEA-0021,Broad spectrum SPF 50 mineral sunscreen with zinc oxide and no white cast,4.8,0.2,in_stock,2023-10-06
beauty,anti-aging retinol night cream,62.5,BEA-0022,Encapsulated retinol night cream with niacinamide for fine lines,4.4,0.06,in_stock,2023-12-01
